order_id,customer_id,restaurant_name,cuisine_type,order_datetime,delivery_time_mins,delivery_partner_id,distance_km,order_value_inr,discount_applied_inr,rating,peak_hour,order_status,city
SW8879514,USR833128,Udipi Palace,Mughlai,2023-01-01 00:00:00,24,DE71455,6.8,302,0.0,3.6,No,Delivered,Delhi
SW6699139,USR160744,Behrouz Biryani,Biryani,2023-01-01 03:16:36,43,DE21177,6.1,405,30.0,3.2,No,Delivered,delhi
SW1035039,USR637041,Domino's Pizza,pizza,2023-01-01 06:33:13,22,DE57726,11.4,567,0.0,5.0,No,delivered,Hyderabad
SW1011375,USR866102,Subway,chinese,2023-01-01 09:49:49,34,DE75710,7.6,414,20.0,3.7,No,Delivered,Kolkata
SW6265412,USR787669,Haldiram's,pizza,2023-01-01 13:06:26,60,DE20811,5.8,495,75.0,3.8,Yes,DELIVERED,Mumbai
SW6374786,USR466791,Mainland China,CHINESE,2023-01-01 16:23:02,28,DE25891,10.4,341,0.0,3.6,No,DELIVERED,Jaipur
SW1229260,USR421859,Haldiram's,NORTH INDIAN,2023-01-01 19:39:39,47,DE94996,10.7,255,30.0,,Yes,Delivered,Delhi
SW8406383,USR468690,Subway,South Indian,2023-01-01 22:56:15,43,DE55501,,595,,,Yes,Delivered,Bangalore
SW4423188,USR285713,Faasos,Thai,2023-01-02 02:12:52,41,DE30041,7.1,162,30.0,3.7,No,Delivered,Chennai
SW1637774,USR606644,Saravana Bhavan,north indian,2023-01-02 05:29:28,22,DE90580,,2185,20.0,4.5,No,DELIVERED,Bengaluru
SW3932943,USR940213,Subway,pizza,2023-01-02 08:46:05,25,DE33589,11.0,1839,0.0,3.8,No,delivered,Pune
SW4641781,USR255695,Moti Mahal,Burgers,2023-01-02 12:02:42,53,DE18835,9.9,2223,100.0,2.7,Yes,Delivered,Delhi
SW1560917,USR809468,KFC,Chinese,2023-01-02 15:19:18,28,DE74567,11.2,345,0.0,4.3,No,Delivered,Kolkata
SW2285099,USR549378,Moti Mahal,CHINESE,2023-01-02 18:35:55,35,DE68512,2.0,568,20.0,4.3,No,Delivered,Pune
SW1797228,USR818358,KFC,Continental,2023-01-02 21:52:31,52,DE51952,11.6,155,50.0,2.7,Yes,Delivered,Kolkata
SW2383544,USR651043,Biryani Blues,Thai,2023-01-03 01:09:08,37,DE27595,11.6,93,0.0,4.5,No,Delivered,Kolkata
SW3001760,USR478083,Sagar Ratna,NORTH INDIAN,2023-01-03 04:25:44,40,DE97924,5.7,97,20.0,3.9,No,Delivered,Chennai
SW5510081,USR112221,McDonald's,BIRYANI,2023-01-03 07:42:21,28,DE56416,1.4,467,50.0,3.5,No,Delivered,Mumbai
SW1554612,USR932128,Mainland China,Fast Food,2023-01-03 10:58:57,27,DE38396,7.7,166,20.0,4.1,No,Delivered,Mumbai
SW9087236,USR248170,Hyderabad House,north indian,2023-01-03 14:15:34,52,DE17423,7.7,1364,,2.3,Yes,Delivered,delhi
SW3628468,USR571728,Mainland China,NORTH INDIAN,2023-01-03 17:32:10,37,DE76221,6.6,1989,20.0,3.6,No,delivered,Bangalore
SW5854356,USR716976,Moti Mahal,Chinese,2023-01-03 20:48:47,62,DE18093,4.3,549,20.0,1.7,Yes,Delivered,Delhi
SW6560886,USR830927,Saravana Bhavan,Thai,2023-01-04 00:05:24,30,DE79636,1.3,331,150.0,4.0,No,Delivered,Chennai
SW2235785,USR320728,Subway,Rolls,2023-01-04 03:22:00,30,DE49311,7.0,324,50.0,3.4,No,Delivered,Delhi
SW9878560,USR721387,Haldiram's,Rolls,2023-01-04 06:38:37,38,DE56525,,445,30.0,4.6,No,DELIVERED,Bengaluru
SW4281352,USR864801,Vaango,Chinese,2023-01-04 09:55:13,26,DE81653,1.6,105,20.0,3.3,No,delivered,delhi
SW5225302,USR907304,Mainland China,CHINESE,2023-01-04 13:11:50,59,DE60197,2.7,200,0.0,3.6,Yes,Delivered,Chennai
SW8461354,USR259893,Sagar Ratna,BIRYANI,2023-01-04 16:28:26,42,DE65052,9.6,346,50.0,3.4,No,Delivered,Hyderabad
SW7287186,USR517423,McDonald's,NORTH INDIAN,2023-01-04 19:45:03,36,DE44791,9.8,329,20.0,4.1,Yes,Cancelled,Kolkata
SW7094856,USR754653,The Beer Cafe,north indian,2023-01-04 23:01:39,27,DE64145,,228,150.0,3.3,No,Delivered,delhi
SW9279147,USR525321,Subway,North Indian,2023-01-05 02:18:16,27,DE55501,1.4,321,20.0,4.5,No,Delivered,Bangalore
SW9921824,USR333061,Smoke House Deli,Desserts,2023-01-05 05:34:53,24,DE61003,,683,30.0,4.4,No,Delivered,Jaipur
SW9922563,USR586632,Moti Mahal,south indian,2023-01-05 08:51:29,34,DE95972,,132,50.0,3.9,No,Delivered,Kolkata
SW1693455,USR120842,KFC,biryani,2023-01-05 12:08:06,71,DE21312,11.8,202,0.0,,Yes,Delivered,Pune
SW3283412,USR846528,Faasos,pizza,2023-01-05 15:24:42,34,DE53561,3.7,541,20.0,3.7,No,Delivered,Chennai
SW3886887,USR118846,Paradise Biryani,BIRYANI,2023-01-05 18:41:19,44,DE31044,11.2,216,150.0,3.6,No,Delivered,Kolkata
SW8484504,USR990132,Faasos,Chinese,2023-01-05 21:57:55,56,DE44418,8.1,273,0.0,3.1,Yes,Delivered,Kolkata
SW6821136,USR108976,McDonald's,Desserts,2023-01-06 01:14:32,28,DE15754,0.8,112,150.0,3.9,No,Delivered,Jaipur
SW1546915,USR443969,Hyderabad House,South Indian,2023-01-06 04:31:08,24,DE86631,,507,75.0,3.8,No,DELIVERED,Pune
SW3542518,USR897098,Behrouz Biryani,Rolls,2023-01-06 07:47:45,39,DE42602,10.1,180,50.0,3.5,No,Delivered,Hyderabad
SW5849314,USR220177,Pizza Hut,biryani,2023-01-06 11:04:21,41,DE10548,1.2,145,0.0,4.7,No,Delivered,Kolkata
SW1566598,USR908438,Pizza Hut,Chinese,2023-01-06 14:20:58,64,DE43967,7.5,1605,0.0,1.7,Yes,Delivered,Jaipur
SW2448718,USR534853,KFC,BIRYANI,2023-01-06 17:37:35,39,DE33257,4.2,481,50.0,4.5,No,Delivered,Chennai
SW2689738,USR900634,KFC,South Indian,2023-01-06 20:54:11,58,DE97024,2.8,356,30.0,3.2,Yes,Delivered,Jaipur
SW9622369,USR646407,The Beer Cafe,BIRYANI,2023-01-07 00:10:48,33,DE40799,6.6,226,,4.2,No,Delivered,delhi
SW8673223,USR391136,McDonald's,North Indian,2023-01-07 03:27:24,40,DE95495,9.7,234,100.0,3.4,No,Delivered,Bangalore
SW4660764,USR468565,McDonald's,north indian,2023-01-07 06:44:01,41,DE32074,9.5,594,0.0,4.1,No,Delivered,Kolkata
SW9419998,USR804601,Biryani Blues,Fast Food,2023-01-07 10:00:37,20,DE65332,2.5,512,100.0,,No,Delivered,Delhi
SW2919224,USR401629,Behrouz Biryani,Biryani,2023-01-07 13:17:14,54,DE14621,4.5,108,20.0,3.6,Yes,DELIVERED,Chennai
SW9977138,USR680923,Wow Momo,Desserts,2023-01-07 16:33:50,32,DE51564,4.5,559,0.0,4.2,No,Delivered,Chennai
SW5985093,USR289550,Paradise Biryani,north indian,2023-01-07 19:50:27,48,DE49170,10.0,449,0.0,3.9,Yes,Delivered,Chennai
SW2033403,USR887006,The Beer Cafe,north indian,2023-01-07 23:07:04,41,DE65473,6.2,125,50.0,4.7,No,Delivered,delhi
SW8688340,USR476417,Faasos,CHINESE,2023-01-08 02:23:40,40,DE94250,4.8,567,0.0,4.7,No,Delivered,Mumbai
SW9676092,USR645192,Cafe Coffee Day,Mughlai,2023-01-08 05:40:17,34,DE27956,,519,100.0,3.2,No,Delivered,Chennai
SW7385212,USR364680,The Beer Cafe,pizza,2023-01-08 08:56:53,30,DE67052,10.7,123,0.0,3.2,No,delivered,Mumbai
SW8391033,USR356283,Barbeque Nation,Burgers,2023-01-08 12:13:30,46,DE44924,4.2,162,0.0,3.2,Yes,Delivered,Delhi
SW3212112,USR803623,Social,NORTH INDIAN,2023-01-08 15:30:06,25,DE37316,11.8,439,30.0,4.0,No,Delivered,Mumbai
SW8343335,USR564230,Haldiram's,Pizza,2023-01-08 18:46:43,43,DE84095,,149,0.0,3.0,No,Delivered,Delhi
SW3552443,USR449038,Wow Momo,NORTH INDIAN,2023-01-08 22:03:19,64,DE80427,1.2,293,0.0,1.5,Yes,delivered,Delhi
SW9592472,USR352811,Vaango,Thai,2023-01-09 01:19:56,36,DE17754,4.7,1018,20.0,,No,Delivered,Jaipur
SW5455129,USR804999,Behrouz Biryani,Thai,2023-01-09 04:36:32,26,DE17318,6.8,1579,0.0,3.9,No,Delivered,Chennai
SW4125856,USR285545,Box8,Rolls,2023-01-09 07:53:09,21,DE61886,10.0,230,,4.8,No,Out for Delivery,Bangalore
SW3157953,USR156689,Haldiram's,north indian,2023-01-09 11:09:46,43,DE83399,8.7,212,20.0,4.1,No,Delivered,Bengaluru
SW7937185,USR392793,Faasos,Burgers,2023-01-09 14:26:22,65,DE12765,2.8,422,20.0,1.2,Yes,Delivered,Hyderabad
SW4269716,USR780428,Sagar Ratna,Mughlai,2023-01-09 17:42:59,41,DE90272,5.4,426,0.0,3.9,No,Delivered,Kolkata
