order_id,customer_id,restaurant_name,cuisine_type,order_date,Time,delivery_time_mins,delivery_partner_id,distance_km,order_value_inr,discount_applied_inr,rating,total value ,peak_hour,order_status,city
SW8879514,USR833128,Udipi Palace,Mughlai,2023-01-01,0:00,24,DE71455,6.8,302,0,3.6,302,No,Delivered,Delhi
SW6699139,USR160744,Behrouz Biryani,Biryani,2023-01-01,3:16,43,DE21177,6.1,405,30,3.2,375,No,Delivered,delhi
SW1035039,USR637041,Domino's Pizza,pizza,2023-01-01,6:33,22,DE57726,11.4,567,0,5,567,No,Delivered,Hyderabad
SW1011375,USR866102,Subway,chinese,2023-01-01,9:49,34,DE75710,7.6,414,20,3.7,394,No,Delivered,Kolkata
SW6265412,USR787669,Haldiram's,pizza,2023-01-01,13:06,60,DE20811,5.8,495,75,3.8,420,Yes,Delivered,Mumbai
SW6374786,USR466791,Mainland China,CHINESE,2023-01-01,16:23,28,DE25891,10.4,341,0,3.6,341,No,Delivered,Jaipur
SW1229260,USR421859,Haldiram's,NORTH INDIAN,2023-01-01,19:39,47,DE94996,10.7,255,30,,225,Yes,Delivered,Delhi
SW8406383,USR468690,Subway,South Indian,2023-01-01,22:56,43,DE55501,,595,,,595,Yes,Delivered,Bengaluru
SW4423188,USR285713,Faasos,Thai,2023-01-02,2:12,41,DE30041,7.1,162,30,3.7,132,No,Delivered,Chennai
SW1637774,USR606644,Saravana Bhavan,north indian,2023-01-02,5:29,22,DE90580,,2185,20,4.5,2165,No,Delivered,Bengaluru
SW3932943,USR940213,Subway,pizza,2023-01-02,8:46,25,DE33589,11,1839,0,3.8,1839,No,Delivered,Pune
SW4641781,USR255695,Moti Mahal,Burgers,2023-01-02,12:02,53,DE18835,9.9,2223,100,2.7,2123,Yes,Delivered,Delhi
SW1560917,USR809468,KFC,Chinese,2023-01-02,15:19,28,DE74567,11.2,345,0,4.3,345,No,Delivered,Kolkata
SW2285099,USR549378,Moti Mahal,CHINESE,2023-01-02,18:35,35,DE68512,2,568,20,4.3,548,No,Delivered,Pune
SW1797228,USR818358,KFC,Continental,2023-01-02,21:52,52,DE51952,11.6,155,50,2.7,105,Yes,Delivered,Kolkata
SW2383544,USR651043,Biryani Blues,Thai,2023-01-03,1:09,37,DE27595,11.6,93,0,4.5,93,No,Delivered,Kolkata
SW3001760,USR478083,Sagar Ratna,NORTH INDIAN,2023-01-03,4:25,40,DE97924,5.7,97,20,3.9,77,No,Delivered,Chennai
SW5510081,USR112221,McDonald's,BIRYANI,2023-01-03,7:42,28,DE56416,1.4,467,50,3.5,417,No,Delivered,Mumbai
SW1554612,USR932128,Mainland China,Fast Food,2023-01-03,10:58,27,DE38396,7.7,166,20,4.1,146,No,Delivered,Mumbai
SW9087236,USR248170,Hyderabad House,north indian,2023-01-03,14:15,52,DE17423,7.7,1364,,2.3,1364,Yes,Delivered,delhi
SW3628468,USR571728,Mainland China,NORTH INDIAN,2023-01-03,17:32,37,DE76221,6.6,1989,20,3.6,1969,No,Delivered,Bengaluru
SW5854356,USR716976,Moti Mahal,Chinese,2023-01-03,20:48,62,DE18093,4.3,549,20,1.7,529,Yes,Delivered,Delhi
SW6560886,USR830927,Saravana Bhavan,Thai,2023-01-04,0:05,30,DE79636,1.3,331,150,4,181,No,Delivered,Chennai
SW2235785,USR320728,Subway,Rolls,2023-01-04,3:22,30,DE49311,7,324,50,3.4,274,No,Delivered,Delhi
SW9878560,USR721387,Haldiram's,Rolls,2023-01-04,6:38,38,DE56525,,445,30,4.6,415,No,Delivered,Bengaluru
SW4281352,USR864801,Vaango,Chinese,2023-01-04,9:55,26,DE81653,1.6,105,20,3.3,85,No,Delivered,delhi
SW5225302,USR907304,Mainland China,CHINESE,2023-01-04,13:11,59,DE60197,2.7,200,0,3.6,200,Yes,Delivered,Chennai
SW8461354,USR259893,Sagar Ratna,BIRYANI,2023-01-04,16:28,42,DE65052,9.6,346,50,3.4,296,No,Delivered,Hyderabad
SW7287186,USR517423,McDonald's,NORTH INDIAN,2023-01-04,19:45,36,DE44791,9.8,329,20,4.1,309,Yes,Cancelled,Kolkata
SW7094856,USR754653,The Beer Cafe,north indian,2023-01-04,23:01,27,DE64145,,228,150,3.3,78,No,Delivered,delhi
SW9279147,USR525321,Subway,North Indian,2023-01-05,2:18,27,DE55501,1.4,321,20,4.5,301,No,Delivered,Bengaluru
SW9921824,USR333061,Smoke House Deli,Desserts,2023-01-05,5:34,24,DE61003,,683,30,4.4,653,No,Delivered,Jaipur
SW9922563,USR586632,Moti Mahal,south indian,2023-01-05,8:51,34,DE95972,,132,50,3.9,82,No,Delivered,Kolkata
SW1693455,USR120842,KFC,biryani,2023-01-05,12:08,71,DE21312,11.8,202,0,,202,Yes,Delivered,Pune
SW3283412,USR846528,Faasos,pizza,2023-01-05,15:24,34,DE53561,3.7,541,20,3.7,521,No,Delivered,Chennai
SW3886887,USR118846,Paradise Biryani,BIRYANI,2023-01-05,18:41,44,DE31044,11.2,216,150,3.6,66,No,Delivered,Kolkata
SW8484504,USR990132,Faasos,Chinese,2023-01-05,21:57,56,DE44418,8.1,273,0,3.1,273,Yes,Delivered,Kolkata
SW6821136,USR108976,McDonald's,Desserts,2023-01-06,1:14,28,DE15754,0.8,112,150,3.9,-38,No,Delivered,Jaipur
SW1546915,USR443969,Hyderabad House,South Indian,2023-01-06,4:31,24,DE86631,,507,75,3.8,432,No,Delivered,Pune
SW3542518,USR897098,Behrouz Biryani,Rolls,2023-01-06,7:47,39,DE42602,10.1,180,50,3.5,130,No,Delivered,Hyderabad
SW5849314,USR220177,Pizza Hut,biryani,2023-01-06,11:04,41,DE10548,1.2,145,0,4.7,145,No,Delivered,Kolkata
SW1566598,USR908438,Pizza Hut,Chinese,2023-01-06,14:20,64,DE43967,7.5,1605,0,1.7,1605,Yes,Delivered,Jaipur
SW2448718,USR534853,KFC,BIRYANI,2023-01-06,17:37,39,DE33257,4.2,481,50,4.5,431,No,Delivered,Chennai
SW2689738,USR900634,KFC,South Indian,2023-01-06,20:54,58,DE97024,2.8,356,30,3.2,326,Yes,Delivered,Jaipur
SW9622369,USR646407,The Beer Cafe,BIRYANI,2023-01-07,0:10,33,DE40799,6.6,226,,4.2,226,No,Delivered,delhi
SW8673223,USR391136,McDonald's,North Indian,2023-01-07,3:27,40,DE95495,9.7,234,100,3.4,134,No,Delivered,Bengaluru
SW4660764,USR468565,McDonald's,north indian,2023-01-07,6:44,41,DE32074,9.5,594,0,4.1,594,No,Delivered,Kolkata
SW9419998,USR804601,Biryani Blues,Fast Food,2023-01-07,10:00,20,DE65332,2.5,512,100,,412,No,Delivered,Delhi
SW2919224,USR401629,Behrouz Biryani,Biryani,2023-01-07,13:17,54,DE14621,4.5,108,20,3.6,88,Yes,Delivered,Chennai
SW9977138,USR680923,Wow Momo,Desserts,2023-01-07,16:33,32,DE51564,4.5,559,0,4.2,559,No,Delivered,Chennai
SW5985093,USR289550,Paradise Biryani,north indian,2023-01-07,19:50,48,DE49170,10,449,0,3.9,449,Yes,Delivered,Chennai
SW2033403,USR887006,The Beer Cafe,north indian,2023-01-07,23:07,41,DE65473,6.2,125,50,4.7,75,No,Delivered,delhi
SW8688340,USR476417,Faasos,CHINESE,2023-01-08,2:23,40,DE94250,4.8,567,0,4.7,567,No,Delivered,Mumbai
SW9676092,USR645192,Cafe Coffee Day,Mughlai,2023-01-08,5:40,34,DE27956,,519,100,3.2,419,No,Delivered,Chennai
SW7385212,USR364680,The Beer Cafe,pizza,2023-01-08,8:56,30,DE67052,10.7,123,0,3.2,123,No,Delivered,Mumbai
SW8391033,USR356283,Barbeque Nation,Burgers,2023-01-08,12:13,46,DE44924,4.2,162,0,3.2,162,Yes,Delivered,Delhi
SW3212112,USR803623,Social,NORTH INDIAN,2023-01-08,15:30,25,DE37316,11.8,439,30,4,409,No,Delivered,Mumbai
SW8343335,USR564230,Haldiram's,Pizza,2023-01-08,18:46,43,DE84095,,149,0,3,149,No,Delivered,Delhi
SW3552443,USR449038,Wow Momo,NORTH INDIAN,2023-01-08,22:03,64,DE80427,1.2,293,0,1.5,293,Yes,Delivered,Delhi
SW9592472,USR352811,Vaango,Thai,2023-01-09,1:19,36,DE17754,4.7,1018,20,,998,No,Delivered,Jaipur
SW5455129,USR804999,Behrouz Biryani,Thai,2023-01-09,4:36,26,DE17318,6.8,1579,0,3.9,1579,No,Delivered,Chennai
SW4125856,USR285545,Box8,Rolls,2023-01-09,7:53,21,DE61886,10,230,,4.8,230,No,Out for Delivery,Bengaluru
SW3157953,USR156689,Haldiram's,north indian,2023-01-09,11:09,43,DE83399,8.7,212,20,4.1,192,No,Delivered,Bengaluru
SW7937185,USR392793,Faasos,Burgers,2023-01-09,14:26,65,DE12765,2.8,422,20,1.2,402,Yes,Delivered,Hyderabad
SW4269716,USR780428,Sagar Ratna,Mughlai,2023-01-09,17:42,41,DE90272,5.4,426,0,3.9,426,No,Delivered,Kolkata
SW2595042,USR162897,Burger King,BIRYANI,2023-01-09,20:59,52,DE83197,1.6,220,0,,220,Yes,Delivered,Jaipur
SW3985199,USR934237,KFC,Continental,2023-01-10,0:16,41,DE19574,10.6,1456,50,3.4,1406,No,Delivered,Jaipur
SW1968822,USR905385,Saravana Bhavan,Burgers,2023-01-10,3:32,39,DE82126,,516,100,,416,No,Delivered,Hyderabad
SW2420162,USR292563,Chaayos,Rolls,2023-01-10,6:49,32,DE68559,3.5,351,30,3.7,321,No,Delivered,Mumbai
SW2439774,USR925383,Domino's Pizza,Rolls,2023-01-10,10:06,31,DE70127,9.3,1611,0,3.3,1611,No,Delivered,Kolkata
SW3743447,USR292841,Hyderabad House,CHINESE,2023-01-10,13:22,46,DE46886,0.8,2102,0,3,2102,Yes,Delivered,Pune
SW9173044,USR950810,Burger King,Rolls,2023-01-10,16:39,40,DE18037,8.8,1199,0,3.2,1199,No,Delivered,Kolkata
SW7934691,USR790236,Faasos,Desserts,2023-01-10,19:55,47,DE18907,8,478,0,2,478,Yes,Delivered,Delhi
SW9116963,USR726486,Paradise Biryani,Mughlai,2023-01-10,23:12,27,DE26827,5.6,141,100,4.8,41,No,Delivered,Mumbai
SW4820685,USR307603,Behrouz Biryani,biryani,2023-01-11,2:29,32,DE79786,,517,100,4.8,417,No,Delivered,Mumbai
SW9344934,USR322085,Barbeque Nation,chinese,2023-01-11,5:45,43,DE78094,,359,20,4.9,339,No,Delivered,Bengaluru
SW1708826,USR624912,KFC,Desserts,2023-01-11,9:02,20,DE14541,2.8,196,0,,196,No,Delivered,Pune
SW2979173,USR506702,Smoke House Deli,Burgers,2023-01-11,12:18,48,DE21819,0.6,191,30,2.1,161,Yes,Delivered,Pune
SW4607234,USR163853,McDonald's,biryani,2023-01-11,15:35,33,DE98830,4.7,485,20,,465,No,Delivered,Delhi
SW2371167,USR856642,Hyderabad House,Burgers,2023-01-11,18:52,39,DE38632,10.9,334,75,3,259,No,Delivered,Hyderabad
SW5710043,USR633717,Mainland China,Fast Food,2023-01-11,22:08,-5,DE99033,6,80,20,4.7,60,Yes,Delivered,Pune
SW6709660,USR762292,Pizza Hut,Rolls,2023-01-12,1:25,30,DE23197,7.4,364,0,4.4,364,No,Delivered,Bengaluru
SW6537141,USR894993,Paradise Biryani,Desserts,2023-01-12,4:41,22,DE47516,11.3,169,0,4.4,169,No,Delivered,Kolkata
SW3268112,USR947976,Vaango,Continental,2023-01-12,7:58,34,DE74110,5.7,309,0,,309,No,Delivered,Jaipur
SW5102665,USR969780,Burger King,South Indian,2023-01-12,11:15,41,DE41147,7.2,184,0,3.6,184,No,Delivered,Hyderabad
SW1705447,USR322375,Hyderabad House,north indian,2023-01-12,14:31,44,DE28933,1.6,126,0,4,126,Yes,Delivered,Chennai
SW7575615,USR724253,Subway,Burgers,2023-01-12,17:48,35,DE31070,2,523,0,3.8,523,No,Delivered,Mumbai
SW4579052,USR492928,Moti Mahal,south indian,2023-01-12,21:04,47,DE59667,7.2,165,0,2.2,165,Yes,Delivered,Mumbai
SW4617582,USR924622,Pizza Hut,North Indian,2023-01-13,0:21,30,DE16734,1,564,100,4.1,464,No,Delivered,Mumbai
SW2966397,USR265950,The Beer Cafe,NORTH INDIAN,2023-01-13,3:38,44,DE58831,0.9,153,0,3.2,153,No,Delivered,Bengaluru
SW9873776,USR514954,McDonald's,biryani,2023-01-13,6:54,36,DE37978,1.7,462,50,3.7,412,No,Delivered,Delhi
SW2405181,USR659502,Domino's Pizza,Continental,2023-01-13,10:11,37,DE60514,3.2,197,30,3.9,167,No,Delivered,Mumbai
SW5230991,USR730454,Udipi Palace,Thai,2023-01-13,13:28,55,DE85055,1.6,515,,3,515,Yes,Delivered,Bengaluru
SW8420612,USR928091,Pizza Hut,Thai,2023-01-13,16:44,39,DE62994,3.4,575,20,4.1,555,No,Delivered,Kolkata
SW7572893,USR690225,Social,Chinese,2023-01-13,20:01,59,DE27676,9,593,20,2.2,573,Yes,Delivered,Kolkata
SW6930491,USR936518,Mainland China,Desserts,2023-01-13,23:17,26,DE49336,5.3,188,20,3.9,168,No,Delivered,Jaipur
SW4776572,USR144932,Sagar Ratna,BIRYANI,2023-01-14,2:34,41,DE32524,8.1,406,20,,386,No,Delivered,Delhi
SW2835354,USR802963,Social,pizza,2023-01-14,5:51,44,DE21654,9.3,506,20,3.2,486,No,cancelled,Bengaluru
SW2066092,USR915604,Biryani Blues,biryani,2023-01-14,9:07,34,DE15636,4.3,519,,3.4,519,No,Delivered,Jaipur
SW5012819,USR949981,Biryani Blues,CHINESE,2023-01-14,12:24,56,DE36288,10.8,198,30,2.5,168,Yes,Delivered,Bengaluru
SW5279349,USR432500,Faasos,north indian,2023-01-14,15:40,29,DE62558,10.4,149,0,3,149,No,Delivered,Bengaluru
SW6406443,USR265942,McDonald's,Burgers,2023-01-14,18:57,24,DE34475,5.3,154,20,4.8,134,No,Out for Delivery,Bengaluru
SW2823874,USR865345,Paradise Biryani,Rolls,2023-01-14,22:14,47,DE63184,,482,0,3.2,482,Yes,Delivered,Kolkata
SW1085458,USR914063,The Beer Cafe,pizza,2023-01-15,1:30,25,DE98338,4.4,533,0,,533,No,Delivered,Hyderabad
SW6011430,USR273979,Paradise Biryani,Mughlai,2023-01-15,4:47,22,DE87181,8.8,323,75,4.4,248,No,Delivered,Bengaluru
